path,fingerprint,stage_keys,n_urls,coverage_pct,item_types,institutions,periods,example_url,example_paths
B_flat_stages,153d8aaa60a4cbfc5036f0476d696396,date|fsth|priority|text,1,0.2,AB,NR,mid,/gegenstand/XXIV/AB/2935,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
B_flat_stages,f5c02ee6ec15505f4a96ccef56969928,date|priority|text,1,0.2,I-BR,BR,mid,/gegenstand/BR/I-BR/5011,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
B_flat_stages,6efb09aaf2ce01741cca014f017778b3,date|priority|text,1,0.2,VER,NR,mid,/gegenstand/XXV/VER/4,"agenda, agenda[].documents, agenda[].documents[].link, agenda[].documents[].type, agenda[].title, approvalstate, breadcrumbs, breadcrumbs[].title"
B_flat_stages,42e07a2fd5b9da4b200099c8d6b54608,date|fsth|priority|reden|text,1,0.2,AEA,NR,mid,/gegenstand/XXIV/AEA/93,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,b1d2345bfea371c9459e224a85b06847,date|priority|text,1,0.2,FS,NR,mid,/gegenstand/XX/FS/38,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, doktyp, einlangen, eurovoc"
B_flat_stages,b6df21cd8870c7ad8e12d3c62a45622a,date|fsth|priority|reden|text,1,0.2,AS,NR,mid,/gegenstand/XX/AS/40,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,c5a62048de821aa01f79aa4456d5fa7f,date|priority|text,1,0.2,ZA,NR,mid,/gegenstand/XX/ZA/6,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,e9e15a738443c7171f010aa1b9919ca2,date|fsth|priority|text,1,0.2,AEA-BR,BR,mid,/gegenstand/BR/AEA-BR/3,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,3cf794928218144a9978adbe2dfe6192,date|fsth|priority|text,1,0.2,UEA-BR,BR,mid,/gegenstand/BR/UEA-BR/27,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,bcd546407043f8d6dc34899a6b42b7e6,date|priority|text,1,0.2,IV-BR,BR,mid,/gegenstand/BR/IV-BR/73,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
B_flat_stages,16752aba72e68f5e49dfe12dd06d2023,date|priority|text,1,0.2,FS-BR,BR,mid,/gegenstand/BR/FS-BR/168,"agenda, agenda[].documents, agenda[].documents[].link, agenda[].documents[].type, agenda[].title, approvalstate, breadcrumbs, breadcrumbs[].title"
B_flat_stages,9b9a7cf896ae6da988f2312fa350c0a0,date|priority|text,1,0.2,FS-BR,BR,mid,/gegenstand/BR/FS-BR/163,"agenda, agenda[].documents, agenda[].documents[].link, agenda[].documents[].type, agenda[].title, approvalstate, breadcrumbs, breadcrumbs[].title"
B_flat_stages,932897f3783b78049c7ce0e6bc204c70,date|text,1,0.2,S-BR,BR,mid,/gegenstand/BR/S-BR/1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, doktyp, einlangen, gp_code"
B_flat_stages,eb6f9866205db00ec931a2e274340bcd,date|text,1,0.2,S-BR,BR,mid,/gegenstand/BR/S-BR/5,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
