item_url,item_type,institution,legis_period,period_bin,path,top_level_keys,stage_keys,fingerprint,example_paths
/gegenstand/BR/I-BR/10710,I-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|process|reference|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,b006733e83bd5f94991be1193ce8870c,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/I-BR/10379,I-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|process|reference|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,13a7ad2381c379259e45ad99d8966221,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/III-BR/811,III-BR,BR,XXVII,recent,A_phase_stages,approvalstate|breadcrumbs|correspondence|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|phase|process|progress|reference|sntype|statementsstate|status|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,34bbc276d14ab437607e9cb5b82eca10,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
/gegenstand/BR/III-BR/849,III-BR,BR,XXVII,recent,A_phase_stages,approvalstate|breadcrumbs|correspondence|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|phase|process|progress|reference|sntype|statementsstate|status|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,e936a68d0b5571a9755ccab9c7a3c336,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
/gegenstand/BR/III-BR/899,III-BR,BR,XXVIII,recent,A_phase_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|phase|process|progress|reference|sntype|statementsstate|status|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,c26b40ced4f46655acadfd398bd4e9cb,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/E-BR/314,E-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,b3e293bdd9ddeef750913a9c64f5c6da,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/E-BR/264,E-BR,BR,XXVI,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,b3e293bdd9ddeef750913a9c64f5c6da,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/E-BR/283,E-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,b3e293bdd9ddeef750913a9c64f5c6da,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/VER-BR/64,VER-BR,BR,XXVII,recent,B_flat_stages,agenda|approvalstate|breadcrumbs|correspondence|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|stdocuments|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,46c534a1fca30ffa480c01143bb094ca,"agenda, agenda[].documents, agenda[].documents[].link, agenda[].documents[].type, agenda[].title, approvalstate, breadcrumbs, breadcrumbs[].title"
/gegenstand/BR/VER-BR/54,VER-BR,BR,XXVI,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|nr_gp_code|process|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,738def78c983c70f571c40459702376c,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
/gegenstand/BR/VER-BR/68,VER-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|nr_gp_code|process|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,738def78c983c70f571c40459702376c,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
/gegenstand/BR/S-BR/13,S-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|text,19951fe63af7aede5514a52074e662bc,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/S-BR/16,S-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|text,19951fe63af7aede5514a52074e662bc,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/S-BR/9,S-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|text,19951fe63af7aede5514a52074e662bc,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/AS-BR/106,AS-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|process|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|reden|text,1325a43b7e2899f122dd77812fb8bc47,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
/gegenstand/BR/AS-BR/91,AS-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|process|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|reden|text,1325a43b7e2899f122dd77812fb8bc47,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
/gegenstand/BR/AS-BR/85,AS-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|process|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|reden|text,1325a43b7e2899f122dd77812fb8bc47,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
/gegenstand/BR/EUD-BR/89,EUD-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,ceae3212e6164241090f1c3ea80a2d05,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/EUD-BR/90,EUD-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,ceae3212e6164241090f1c3ea80a2d05,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/EUD-BR/80,EUD-BR,BR,XXVI,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,ceae3212e6164241090f1c3ea80a2d05,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/SINF-BR/285,SINF-BR,BR,XXVI,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|names|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,a846f9d5fb78c320b6183b8b170ae453,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/SINF-BR/486,SINF-BR,BR,XXVIII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|names|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,a846f9d5fb78c320b6183b8b170ae453,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
